"Ethnicity","Time","Miles","Trips"
"All","2002/06","7,151","1,065"
"All","2003/07","7,139","1,049"
"All","2004/08","7,076","1,041"
"All","2005/09","7,007","1,029"
"All","2006/10","6,910","1,012"
"All","2007/11","6,842","993"
"All","2008/12","6,734","987"
"All","2009/13","6,675","973"
"All","2010/14","6,630","962"
"All","2011/15","6,622","952"
"All","2012/16","6,570","949"
"All","2013/17","6,564","949"
"Asian","2002/06","4,567","876"
"Asian","2003/07","4,489","868"
"Asian","2004/08","4,505","865"
"Asian","2005/09","4,590","870"
"Asian","2006/10","4,695","859"
"Asian","2007/11","4,595","836"
"Asian","2008/12","4,589","837"
"Asian","2009/13","4,556","832"
"Asian","2010/14","4,482","808"
"Asian","2011/15","4,469","798"
"Asian","2012/16","4,630","801"
"Asian","2013/17","4,645","801"
"Black","2002/06","4,704","823"
"Black","2003/07","4,876","816"
"Black","2004/08","4,796","833"
"Black","2005/09","4,784","836"
"Black","2006/10","4,685","828"
"Black","2007/11","4,637","826"
"Black","2008/12","4,497","827"
"Black","2009/13","4,394","813"
"Black","2010/14","4,455","809"
"Black","2011/15","4,360","799"
"Black","2012/16","4,280","792"
"Black","2013/17","4,190","778"
"Mixed","2002/06","4,964","938"
"Mixed","2003/07","5,002","943"
"Mixed","2004/08","5,277","937"
"Mixed","2005/09","5,304","943"
"Mixed","2006/10","5,327","930"
"Mixed","2007/11","5,088","908"
"Mixed","2008/12","4,950","891"
"Mixed","2009/13","4,841","880"
"Mixed","2010/14","4,814","859"
"Mixed","2011/15","4,703","871"
"Mixed","2012/16","4,806","869"
"Mixed","2013/17","5,128","883"
"White","2002/06","7,434","1,087"
"White","2003/07","7,424","1,071"
"White","2004/08","7,356","1,061"
"White","2005/09","7,285","1,048"
"White","2006/10","7,188","1,031"
"White","2007/11","7,134","1,013"
"White","2008/12","7,037","1,009"
"White","2009/13","6,990","994"
"White","2010/14","6,947","984"
"White","2011/15","6,953","975"
"White","2012/16","6,887","971"
"White","2013/17","6,880","972"
"Other","2002/06","4,473","840"
"Other","2003/07","4,584","854"
"Other","2004/08","4,536","863"
"Other","2005/09","4,386","863"
"Other","2006/10","4,438","865"
"Other","2007/11","4,627","836"
"Other","2008/12","4,429","798"
"Other","2009/13","4,588","795"
"Other","2010/14","4,536","784"
"Other","2011/15","4,048","754"
"Other","2012/16","4,107","783"
"Other","2013/17","4,262","796"
